student_i,student_j,college_i,college_j,marks_i,marks_j,marks_diff,outcome_diff,weight
17282,22802,506802_bpc,506602_bpc,24.75,30.0,-5.25,23.0,0.9174600256663492
12666,12209,508502_bpc,508402_bpc,57.5,70.0,-12.5,-14.0,0.9297408164996235
38522,32844,513602_bpc,514202_bpc,39.25,47.5,-8.25,-22.0,0.6639898439697662
21293,16678,515002_bpc,509502_bpc,54.0,52.5,1.5,-5.0,0.9504998996819201
15311,19962,514502_bpc,514301_mpc,38.0,34.25,3.75,7.0,0.8354082328975108
30792,8624,509301_mpc,504201_mpc,40.0,50.0,-10.0,17.0,0.7966013278044136
18582,12860,511701_mpc,512901_mpc,65.0,82.5,-17.5,-2.0,0.9035431539599763
4052,31363,504202_bpc,503802_bpc,37.5,43.0,-5.5,-12.0,0.7992366166940899
5246,32080,508101_mpc,508201_mpc,48.75,58.0,-9.25,-2.0,0.8751054683664644
13634,3839,508702_bpc,508502_bpc,35.75,29.0,6.75,-2.0,0.8636055089552361
5394,4036,509302_bpc,508502_bpc,54.0,72.5,-18.5,-12.0,0.8879643095472998
3764,2665,506903_mec,507002_bpc,22.5,25.0,-2.5,42.0,0.8843145748503939
4666,2318,506002_bpc,505802_bpc,13.25,6.25,7.0,-21.0,0.9625094282664748
22188,19565,501801_mpc,505101_mpc,82.5,96.5,-14.0,0.0,0.9476042641140133
3488,28590,502101_mpc,507201_mpc,19.25,17.5,1.75,14.0,0.887553801211046
166,33381,513904_cec,503002_bpc,22.75,10.0,12.75,-30.0,0.8811452750904947
14706,10291,511701_mpc,513503_mec,43.0,50.75,-7.75,-1.0,0.876566694640526
14479,9868,509502_bpc,504202_bpc,30.0,16.5,13.5,2.0,0.8489680976698701
16646,16772,503201_mpc,503601_mpc,42.5,46.75,-4.25,13.0,0.8001864032973005
14479,15917,509502_bpc,509402_bpc,30.0,35.0,-5.0,-3.0,0.8330646814193033
16597,2289,511702_bpc,511701_mpc,56.25,51.25,5.0,2.0,0.9312046043677289
19234,2083,514502_bpc,514501_mpc,19.25,7.75,11.5,9.0,0.9124903758420877
30464,17072,508302_bpc,515002_bpc,58.75,72.5,-13.75,-31.0,0.9256568664935138
9156,21592,511304_cec,511402_bpc,13.75,20.0,-6.25,-21.0,0.9344436164802505
26300,17428,512901_mpc,513104_cec,17.75,13.0,4.75,33.0,0.9293123510963148
33036,7832,509502_bpc,508802_bpc,48.75,53.5,-4.75,-49.0,0.9195475037196243
8809,19262,504503_mec,504702_bpc,20.0,6.5,13.5,-16.0,0.9060211595771523
13876,293,509402_bpc,508402_bpc,30.0,31.25,-1.25,-11.442871,0.9187939995831923
15205,3411,505901_mpc,505902_bpc,36.25,38.75,-2.5,-25.0,0.7927731335402276
13397,18825,511902_bpc,512402_bpc,27.75,8.0,19.75,8.0,0.7803669103974237
6025,3499,505102_bpc,505902_bpc,35.0,32.0,3.0,-9.0,0.848690845570257
30185,20670,513504_cec,512104_cec,15.25,7.75,7.5,38.0,0.9300712547747939
15134,4525,503201_mpc,503101_mpc,40.5,45.25,-4.75,8.0,0.771970191266859
5831,10223,507502_bpc,508002_bpc,40.75,36.25,4.5,-8.0,0.914658090163374
295,18835,514402_bpc,514002_bpc,25.0,23.0,2.0,21.0,0.9130726751826822
28292,4295,513403_mec,513504_cec,36.5,30.0,6.5,14.0,0.6100775788450803
20050,16016,502701_mpc,503001_mpc,47.5,53.25,-5.75,-13.0,0.8751013210848204
3894,5047,509202_bpc,508702_bpc,38.0,37.5,0.5,-20.0,0.8297040161208382
2600,4555,508001_mpc,507801_mpc,23.75,29.5,-5.75,-5.0,0.9355368442390679
39383,10842,511604_cec,511303_mec,21.25,17.75,3.5,-21.442871,0.937583055111838
4593,10772,507402_bpc,507502_bpc,20.5,23.5,-3.0,-16.0,0.9641573782508868
113,2912,509502_bpc,508802_bpc,43.75,55.0,-11.25,-1.0,0.7908864260926326
2558,16705,505101_mpc,505702_bpc,52.5,52.5,0.0,13.0,0.8867929190347289
22088,16708,504001_mpc,503601_mpc,56.25,85.0,-28.75,0.0,0.8678171140467464
20807,34861,506101_mpc,515001_mpc,72.75,73.75,-1.0,0.0,0.9646206421277991
1830,15754,513404_cec,511801_mpc,52.75,62.5,-9.75,-10.0,0.8710767789872225
3119,22263,505401_mpc,505501_mpc,45.0,47.25,-2.25,-7.0,0.9066922168608991
2753,6855,505602_bpc,505402_bpc,53.0,50.0,3.0,-7.0,0.9378378705431007
28294,16528,513403_mec,513202_bpc,47.5,50.5,-3.0,-5.0,0.7336095195973384
31529,36507,514002_bpc,513704_cec,9.25,4.0,5.25,4.0,0.9729698760599881
264,27702,505204_cec,501904_cec,23.75,21.75,2.0,-3.0,0.8740654412932073
2064,6514,508903_mec,509302_bpc,56.5,65.25,-8.75,-7.0,0.9237626637183752
27857,8507,507201_mpc,506904_cec,10.75,18.75,-8.0,-37.0,0.9053221927418397
3550,16413,514401_mpc,514501_mpc,22.5,14.75,7.75,-6.0,0.9211724565258385
33905,18709,502102_bpc,502005_hec,12.5,5.0,7.5,19.0,0.8736179696722174
13227,18278,503801_mpc,508501_mpc,90.0,99.75,-9.75,11.0,0.9564972176420011
6967,7992,508102_bpc,507801_mpc,9.25,17.5,-8.25,-5.0,0.9511428076269721
98,30651,512602_bpc,514901_mpc,46.25,52.75,-6.5,44.0,0.6710627856378322
21415,17593,505702_bpc,505802_bpc,46.25,50.0,-3.75,-23.0,0.9214513394103409
6717,3601,508101_mpc,507401_mpc,10.25,8.75,1.5,-7.0,0.9674266521359863
12539,7694,505902_bpc,505802_bpc,38.75,40.0,-1.25,-19.0,0.8783242036810245
39428,30847,511304_cec,511701_mpc,35.5,28.75,6.75,63.0,0.6081179741335685
2755,6693,507401_mpc,507701_mpc,31.25,29.25,2.0,18.0,0.9007508969171254
11105,21601,508302_bpc,509402_bpc,16.5,22.5,-6.0,3.0,0.924998599468045
31626,5016,508701_mpc,509201_mpc,40.0,37.5,2.5,-15.0,0.936374050217529
4669,5590,507501_mpc,508001_mpc,30.25,20.0,10.25,1.0,0.8296593737989837
10877,4529,504202_bpc,503202_bpc,31.0,28.0,3.0,-22.0,0.9195459347594225
12214,16860,511202_bpc,511201_mpc,45.0,46.0,-1.0,13.0,0.7833492851836017
33108,27162,502801_mpc,502505_hec,21.25,22.5,-1.25,-9.0,0.9581921371124497
11852,22744,501502_bpc,502005_hec,16.0,8.0,8.0,21.0,0.9687210293171427
19350,20402,514001_mpc,513704_cec,61.25,59.0,2.25,18.0,0.8848798316351402
3840,31260,503102_bpc,503101_mpc,61.25,67.25,-6.0,-1.0,0.8789737811194358
20051,4073,502702_bpc,502701_mpc,25.0,13.75,11.25,1.0,0.8654175038572178
1533,21954,512502_bpc,512702_bpc,53.0,67.25,-14.25,-3.0,0.9538803248554973
2544,14743,507904_cec,508201_mpc,18.0,18.75,-0.75,10.0,0.955304952443938
27702,33912,501904_cec,501903_mec,21.75,16.25,5.5,-14.0,0.9147508888778968
14014,26243,505601_mpc,505301_mpc,36.25,40.0,-3.75,20.442871,0.7571690027706683
15312,28256,512502_bpc,512702_bpc,31.25,34.0,-2.75,-33.0,0.9450657346276702
4536,19244,509301_mpc,508502_bpc,48.75,62.5,-13.75,-10.0,0.7768082285258515
10725,2314,506001_mpc,505702_bpc,31.25,33.25,-2.0,0.0,0.8111411766654943
23702,2009,509501_mpc,505401_mpc,9.25,15.25,-6.0,-44.0,0.9838134473212152
309,37998,507302_bpc,506502_bpc,33.75,37.5,-3.75,15.442871,0.84528091220961
6893,16828,504001_mpc,504201_mpc,68.75,71.25,-2.5,-33.0,0.9483584235347733
34482,5243,503801_mpc,504002_bpc,48.75,57.25,-8.5,10.0,0.8530443359175505
16535,20950,504202_bpc,503602_bpc,26.0,27.5,-1.5,12.0,0.8468919015183031
16739,14356,514801_mpc,514901_mpc,50.0,75.75,-25.75,-26.0,0.884916013117153
16739,7200,514801_mpc,514701_mpc,50.0,70.5,-20.5,-21.0,0.8857612930353723
17743,21113,504402_bpc,504904_cec,34.75,37.5,-2.75,-23.0,0.8594204454718197
31031,12728,505901_mpc,505101_mpc,46.75,47.5,-0.75,-7.0,0.7360156302299863
37207,31045,514002_bpc,514201_mpc,20.0,12.25,7.75,27.0,0.9602041916570005
29162,37879,512801_mpc,512902_bpc,43.5,43.75,-0.25,-43.0,0.8103412187718773
7640,31143,511202_bpc,513104_cec,57.0,60.5,-3.5,20.0,0.8831912832295916
8905,22186,504001_mpc,503101_mpc,35.0,27.5,7.5,5.0,0.5822811402321928
31407,1160,513903_mec,511401_mpc,50.0,105.0,-55.0,8.0,0.7040044611647525
36036,15077,506602_bpc,506702_bpc,2.5,18.75,-16.25,1.4428711,0.9271138331276653
23803,14730,513704_cec,513504_cec,30.0,28.75,1.25,-14.0,0.8419270409278191
16515,37520,511303_mec,513403_mec,25.75,14.75,11.0,-8.0,0.8287545716741668
8286,33339,512502_bpc,512501_mpc,41.25,42.5,-1.25,5.0,0.7840574208680828
32224,7769,511604_cec,514602_bpc,47.75,46.25,1.5,10.0,0.6757565107108637
4269,28594,514702_bpc,514901_mpc,50.5,56.25,-5.75,-8.0,0.9126436379685596
12113,2077,514502_bpc,514302_bpc,32.5,25.0,7.5,-22.0,0.7957269858777039
14853,21927,506601_mpc,506701_mpc,27.5,24.5,3.0,-8.0,0.8832911116835704
21989,5040,503002_bpc,502801_mpc,41.75,53.25,-11.5,2.0,0.7409369494881477
23093,11565,508101_mpc,507702_bpc,20.0,12.75,7.25,-7.0,0.9236017138146706
31139,8719,509202_bpc,508701_mpc,15.25,14.25,1.0,-18.0,0.9360527559261048
27261,7336,513404_cec,512104_cec,-2.5,6.0,-8.5,8.0,0.9517293550198853
35489,38090,514701_mpc,514801_mpc,32.75,28.0,4.75,-11.0,0.8660995103664566
35675,29891,505602_bpc,505702_bpc,33.75,33.5,0.25,3.0,0.9135397670751724
32240,12863,503801_mpc,504002_bpc,28.75,30.0,-1.25,7.0,0.7586894568177551
8396,13457,501802_bpc,502202_bpc,57.5,52.25,5.25,5.0,0.9504009445656749
13648,5395,508502_bpc,509201_mpc,28.75,26.75,2.0,13.0,0.9269594993921204
5206,1930,505302_bpc,505802_bpc,64.0,93.75,-29.75,3.0,0.9023405482075615
30277,13746,510101_mpc,512401_mpc,35.0,27.5,7.5,11.0,0.7503383627792426
38916,22374,507201_mpc,506501_mpc,61.25,51.25,10.0,-13.0,0.887520486214744
12389,26832,512701_mpc,512501_mpc,50.0,62.5,-12.5,16.0,0.9170594347312524
13542,22107,502701_mpc,515001_mpc,56.5,57.0,-0.5,-4.0,0.8634444494884291
15037,27759,505501_mpc,505402_bpc,71.25,75.0,-3.75,4.0,0.9719417027582891
3724,7174,515001_mpc,508904_cec,48.75,48.0,0.75,11.0,0.898169555768134
16608,10875,511201_mpc,511202_bpc,31.25,27.5,3.75,17.0,0.9181751974416466
6884,37079,511304_cec,512104_cec,25.5,23.25,2.25,29.0,0.8784446949902175
9055,35440,503202_bpc,503201_mpc,57.5,73.5,-16.0,-4.0,0.8654341591216372
21957,5155,507301_mpc,506801_mpc,23.0,28.75,-5.75,-24.0,0.8349879250542175
25567,3775,505301_mpc,506701_mpc,30.0,15.0,15.0,12.0,0.8151784427883553
23974,5529,512801_mpc,513403_mec,8.25,13.75,-5.5,8.0,0.9461633712895684
7810,13179,502101_mpc,502102_bpc,30.0,35.0,-5.0,-2.0,0.8615349267557206
14456,24648,512202_bpc,510102_bpc,34.0,18.0,16.0,17.0,0.6576723534119425
7497,24640,506201_mpc,506101_mpc,52.5,65.25,-12.75,-1.0,0.9447578737230989
6518,35339,503904_cec,503905_hec,22.5,20.0,2.5,-2.0,0.8945847228517888
34713,24648,511902_bpc,510102_bpc,24.25,18.0,6.25,-9.0,0.9532242026087486
293,15074,508402_bpc,509002_bpc,31.25,29.25,2.0,-9.0,0.8508198147202788
31977,5375,509201_mpc,515001_mpc,58.75,73.75,-15.0,-18.0,0.9418149620557191
19261,35767,503301_mpc,504201_mpc,58.75,71.0,-12.25,-15.0,0.932018598277222
18355,12802,511603_mec,511201_mpc,32.5,26.25,6.25,52.0,0.8242003932118266
18335,36198,502801_mpc,502504_cec,29.75,17.5,12.25,5.0,0.8083616885340595
33502,17428,512801_mpc,513104_cec,11.5,13.0,-1.5,33.0,0.9126385000441286
6514,1289,509302_bpc,509502_bpc,65.25,81.5,-16.25,8.0,0.9600403750435124
14834,4056,503904_cec,503201_mpc,56.25,66.25,-10.0,-4.0,0.8822323905660783
1347,23567,503002_bpc,503001_mpc,80.0,81.0,-1.0,-8.0,0.9606212681115001
8819,14109,509201_mpc,508501_mpc,50.0,58.0,-8.0,-8.0,0.9393604332334987
6249,18326,505501_mpc,513601_mpc,0.0,4.0,-4.0,23.0,0.8937067024584303
10770,35593,508501_mpc,508701_mpc,58.5,75.0,-16.5,-7.0,0.9352262007311486
39386,33339,512601_mpc,512501_mpc,43.75,42.5,1.25,27.0,0.9805902053802945
2521,7808,503801_mpc,503101_mpc,26.25,21.25,5.0,27.0,0.8169311878726471
8557,30335,509401_mpc,509001_mpc,27.0,21.25,5.75,3.0,0.8774213934484955
10800,14809,507904_cec,507702_bpc,3.0,14.25,-11.25,11.0,0.9274384104568555
3784,5766,507502_bpc,507602_bpc,23.75,26.0,-2.25,-8.0,0.9734935220520766
10153,13542,501904_cec,502701_mpc,42.5,56.5,-14.0,-13.0,0.6148316480826691
6402,13279,506102_bpc,506301_mpc,31.25,10.0,21.25,45.0,0.707709296498486
28145,4822,508702_bpc,508302_bpc,41.25,42.75,-1.5,-4.0,0.7503276547975606
5719,4727,509001_mpc,509301_mpc,35.0,37.75,-2.75,-4.0,0.8906586496126733
4058,10148,502504_cec,503002_bpc,18.5,19.5,-1.0,28.0,0.8680956136752903
16786,4383,507402_bpc,508102_bpc,41.0,41.25,-0.25,3.0,0.7827721670565652
17216,21484,506701_mpc,507202_bpc,14.5,13.75,0.75,17.0,0.9205842978427912
7209,21280,514201_mpc,513903_mec,30.0,21.25,8.75,2.0,0.8624142046895018
4196,3930,507401_mpc,507501_mpc,48.75,53.75,-5.0,-3.0,0.8381606928348365
5784,1643,506302_bpc,506101_mpc,78.75,82.5,-3.75,7.0,0.982449626827051
13908,16160,508903_mec,506202_bpc,41.25,45.25,-4.0,-7.0,0.8338228251963251
34221,30673,508701_mpc,508301_mpc,53.75,84.75,-31.0,-3.0,0.8966626276670959
31420,692,501801_mpc,501601_mpc,30.75,20.5,10.25,-9.0,0.8206433768316185
23242,12666,508402_bpc,508502_bpc,51.0,57.5,-6.5,-6.0,0.9685853820792227
6197,3483,505801_mpc,505601_mpc,42.5,48.5,-6.0,3.0,0.8402530608741998
10280,5982,501903_mec,504201_mpc,17.0,9.75,7.25,-17.0,0.9138410510818896
22030,4000,503201_mpc,503601_mpc,30.0,19.25,10.75,-1.0,0.834691403914023
7199,25074,510101_mpc,510102_bpc,51.25,71.5,-20.25,17.0,0.8726206107318502
6295,37960,507904_cec,502504_cec,63.75,73.75,-10.0,2.0,0.9404905094014268
25934,9791,510102_bpc,512402_bpc,20.0,23.25,-3.25,3.0,0.9168031721270627
1355,12843,506802_bpc,507202_bpc,36.5,30.0,6.5,0.0,0.6703590718355258
9828,30091,511202_bpc,511401_mpc,40.25,46.0,-5.75,-13.0,0.6934306837724231
31606,34797,512401_mpc,512201_mpc,43.75,60.5,-16.75,16.0,0.7971710572617643
18616,18096,511701_mpc,512902_bpc,25.0,28.5,-3.5,5.0,0.8212384952381764
34960,15121,511801_mpc,511701_mpc,34.5,27.5,7.0,-18.0,0.8631618064995455
3892,36276,507401_mpc,508201_mpc,40.0,36.5,3.5,1.0,0.9336712910561807
34791,3724,508802_bpc,515001_mpc,54.25,48.75,5.5,-7.0,0.8885004009451739
12640,25879,501502_bpc,502201_mpc,51.0,63.0,-12.0,1.0,0.88790461383808
1963,4635,514502_bpc,514302_bpc,32.5,26.25,6.25,-7.0,0.7800858314320758
6459,5938,512202_bpc,510102_bpc,29.25,21.25,8.0,8.0,0.7518409896799437
25307,17240,514302_bpc,514501_mpc,20.75,19.75,1.0,25.0,0.9443289417968235
28609,3424,514902_bpc,514601_mpc,14.0,13.75,0.25,-15.0,0.8981484838758815
14667,27954,502701_mpc,502802_bpc,51.25,71.75,-20.5,-7.0,0.8738987244305434
3161,19162,505902_bpc,505702_bpc,40.0,40.0,0.0,-3.0,0.867361399902774
38308,18842,502201_mpc,502101_mpc,75.0,66.5,8.5,-20.0,0.9697485713723992
14973,36106,502005_hec,502801_mpc,20.0,21.75,-1.75,9.0,0.8959548953545364
7593,2159,503602_bpc,503302_bpc,37.5,44.5,-7.0,-35.0,0.6955775731690413
4437,21810,507904_cec,506404_cec,34.5,17.75,16.75,1.0,0.46016026184547576
21409,5414,514202_bpc,513503_mec,65.0,83.5,-18.5,-4.0,0.9569095703202359
4516,15005,502802_bpc,502504_cec,43.75,51.25,-7.5,4.0,0.743128641788434
33999,9526,512104_cec,513704_cec,31.25,20.0,11.25,8.0,0.7700664696850129
7814,14362,502201_mpc,511402_bpc,20.0,26.5,-6.5,5.0,0.9083174478042697
29955,37905,514602_bpc,514702_bpc,27.5,13.75,13.75,71.0,0.8409897691165096
7298,21695,512701_mpc,512602_bpc,55.0,77.25,-22.25,-12.0,0.9278536868540784
10784,19064,504001_mpc,504202_bpc,28.75,21.5,7.25,-9.0,0.7834188852098741
30104,10091,506602_bpc,507202_bpc,31.5,25.25,6.25,-4.0,0.8954818718211401
3617,14912,502801_mpc,502504_cec,49.75,45.0,4.75,-3.0,0.8927658662527334
4267,3449,507601_mpc,507904_cec,13.0,15.0,-2.0,-7.0,0.9035458424208632
32008,1529,512801_mpc,513104_cec,69.0,91.25,-22.25,-1.0,0.9323461516913027
22384,23822,503802_bpc,503801_mpc,55.0,60.0,-5.0,-1.0,0.8737361000451529
13698,5905,506501_mpc,506701_mpc,40.0,54.25,-14.25,4.0,0.7064427352996685
16153,35025,514902_bpc,514802_bpc,41.25,42.0,-0.75,12.0,0.7457324080646273
4601,14313,512602_bpc,514702_bpc,31.25,28.75,2.5,-1.0,0.7061033928674382
26141,23589,506404_cec,506702_bpc,17.25,21.25,-4.0,-13.0,0.9455027430109058
12565,4838,508101_mpc,507601_mpc,44.0,50.25,-6.25,1.0,0.9291532645065279
18335,7415,502801_mpc,503001_mpc,29.75,19.0,10.75,0.0,0.8729957620905211
6510,4952,512702_bpc,512602_bpc,23.75,28.75,-5.0,-3.0,0.9568758313014679
27174,4707,505502_bpc,505302_bpc,72.5,73.0,-0.5,-7.0,0.9650886771993407
3146,4863,504503_mec,504903_mec,20.0,17.0,3.0,-30.0,0.8529525758623218
17116,8396,501502_bpc,501802_bpc,55.75,57.5,-1.75,0.0,0.9745495368849499
35345,7167,514302_bpc,514401_mpc,8.75,6.25,2.5,8.0,0.9521275071335185
3959,5981,508302_bpc,515002_bpc,68.5,78.75,-10.25,-7.0,0.9673533449694026
33088,24311,504401_mpc,504701_mpc,80.0,59.25,20.75,6.0,0.9542880023221774
35957,22131,513103_mec,512902_bpc,20.75,26.25,-5.5,-13.0,0.8547763753425289
15526,24931,503001_mpc,502505_hec,30.5,6.25,24.25,-12.0,0.7018526965573095
5495,33524,506601_mpc,507001_mpc,36.75,43.75,-7.0,-8.0,0.6685759893970852
2887,4757,505602_bpc,505102_bpc,57.5,54.0,3.5,-10.0,0.9331913787423182
12411,38759,503801_mpc,503301_mpc,57.5,66.5,-9.0,1.0,0.9275353015219309
7889,14632,514702_bpc,514901_mpc,33.0,28.75,4.25,-23.0,0.8775396743769477
10950,31332,512602_bpc,512601_mpc,43.75,55.0,-11.25,-17.442871,0.6676586676386753
25141,21810,507702_bpc,506404_cec,14.5,17.75,-3.25,-42.0,0.9546278636908648
19740,4737,503602_bpc,503802_bpc,42.25,41.0,1.25,-23.0,0.8804401137109873
5751,1182,505801_mpc,506001_mpc,61.25,60.0,1.25,-17.0,0.9482111339781684
7651,2558,505302_bpc,505101_mpc,50.75,52.5,-1.75,-14.0,0.9342795699863061
38639,14667,503001_mpc,502701_mpc,47.5,51.25,-3.75,-17.0,0.8881932260858024
14886,11035,508101_mpc,508102_bpc,30.0,22.75,7.25,6.0,0.8915734804812694
681,15279,514702_bpc,514902_bpc,30.0,37.5,-7.5,38.0,0.8145057823092074
3480,14344,505702_bpc,505602_bpc,35.0,35.25,-0.25,2.0,0.8659680958405463
24956,6501,506001_mpc,505302_bpc,20.0,12.5,7.5,10.0,0.8882323585579529
2668,36359,504202_bpc,503202_bpc,32.5,26.25,6.25,2.0,0.7653929485821463
37082,23852,513403_mec,512702_bpc,77.25,57.5,19.75,10.0,0.9437331152166758
35713,27023,501904_cec,501502_bpc,26.25,18.75,7.5,1.0,0.7938107515907677
37675,11898,508801_mpc,508501_mpc,32.5,27.5,5.0,32.0,0.8154264067046243
28937,38435,512502_bpc,512602_bpc,47.5,57.5,-10.0,-52.0,0.8747279535510999
1530,10785,511603_mec,511303_mec,23.75,18.75,5.0,12.0,0.9649466594602575
7640,35509,511202_bpc,514901_mpc,57.0,50.5,6.5,23.0,0.8738957034280782
39003,16387,513904_cec,513504_cec,11.25,10.25,1.0,18.0,0.9382042540319117
17091,32302,511402_bpc,511603_mec,32.5,35.0,-2.5,1.0,0.7399794752054493
38784,13545,514702_bpc,512901_mpc,70.0,102.5,-32.5,11.0,0.9185879678616355
7640,21891,511202_bpc,511801_mpc,57.0,87.25,-30.25,-4.0,0.8719100638368207
30718,26307,503201_mpc,504201_mpc,24.75,21.25,3.5,47.0,0.8209297871378839
3269,2655,509401_mpc,508401_mpc,44.5,39.75,4.75,3.0,0.8194371478733743
13894,24724,505102_bpc,506002_bpc,45.25,39.5,5.75,-14.0,0.8632521879561024
6459,13302,512202_bpc,512104_cec,29.25,26.5,2.75,9.0,0.7652508439310619
14,24805,501502_bpc,502102_bpc,42.5,38.75,3.75,2.0,0.8120468693378392
7057,12435,515002_bpc,506202_bpc,43.25,45.0,-1.75,3.0,0.9507475044510991
34053,17358,503201_mpc,507501_mpc,40.0,48.75,-8.75,6.0,0.611590388589297
27524,27955,503602_bpc,503801_mpc,41.25,47.25,-6.0,-12.0,0.6907158721979947
5244,16314,506601_mpc,506501_mpc,69.75,63.0,6.75,-4.0,0.9623694634871096
30821,19962,514502_bpc,514301_mpc,32.5,34.25,-1.75,5.0,0.8423409482014149
24411,20255,502004_cec,502801_mpc,29.25,24.75,4.5,20.0,0.7865585543552749
28239,19490,514702_bpc,514701_mpc,33.75,23.75,10.0,-25.0,0.7731756730487274
2547,3205,509104_cec,503904_cec,28.75,20.0,8.75,4.0,0.6614297392721532
3922,21452,514702_bpc,514802_bpc,32.25,35.0,-2.75,-8.0,0.902691739416063
35238,6471,504002_bpc,503802_bpc,41.25,41.0,0.25,10.0,0.7862919954166736
18430,9361,510101_mpc,511901_mpc,17.25,27.5,-10.25,4.0,0.8512175040710878
24719,20150,502004_cec,501802_bpc,22.75,22.75,0.0,3.0,0.9166202593493143
12940,34668,514602_bpc,514802_bpc,26.25,31.25,-5.0,8.0,0.9125059213517404
4124,2474,502504_cec,502702_bpc,37.5,24.5,13.0,16.0,0.5318422069986265
2295,28574,508302_bpc,508702_bpc,44.5,49.5,-5.0,-15.0,0.9192531536235464
33051,22860,508903_mec,509105_hec,18.75,6.5,12.25,-16.0,0.8594580794411624
10673,5611,507202_bpc,506802_bpc,61.0,67.5,-6.5,-44.0,0.8773626329062468
12744,5395,509202_bpc,509201_mpc,33.0,26.75,6.25,3.0,0.8568641974635735
17015,7616,512202_bpc,512104_cec,20.25,16.25,4.0,-12.0,0.8542949120963752
27150,7958,512202_bpc,511901_mpc,30.0,28.75,1.25,9.0,0.7634510095029954
14571,22394,504001_mpc,503101_mpc,67.5,65.25,2.25,-5.0,0.9727433358730971
28750,2358,505501_mpc,505101_mpc,37.25,41.25,-4.0,0.0,0.71664408186746
24470,1626,509401_mpc,509501_mpc,30.0,28.25,1.75,13.0,0.7856453541759784
6397,11719,503202_bpc,504202_bpc,26.25,20.75,5.5,13.0,0.8823257457367919
9885,18278,509501_mpc,508501_mpc,60.0,99.75,-39.75,3.0,0.8650157581908525
24151,3903,514802_bpc,514801_mpc,18.75,16.5,2.25,16.0,0.8726195207446353
10069,38080,514701_mpc,514801_mpc,35.5,28.0,7.5,0.0,0.8126881532604613
25020,33141,510102_bpc,513504_cec,22.5,15.25,7.25,0.0,0.8419900372611668
27670,27948,514901_mpc,514801_mpc,33.0,27.5,5.5,-23.0,0.8867229832749889
32061,13172,510102_bpc,512402_bpc,26.25,22.5,3.75,23.0,0.8754411344539409
29085,10517,511901_mpc,512201_mpc,32.75,31.5,1.25,23.0,0.8808592502757968
6291,9256,502505_hec,502504_cec,24.0,28.75,-4.75,31.0,0.840080151605726
8637,626,501602_bpc,506201_mpc,67.5,75.25,-7.75,-2.0,0.9053930211024809
2240,5608,511902_bpc,513704_cec,13.75,21.75,-8.0,-6.0,0.9177142440235971
22305,8652,508301_mpc,509105_hec,27.5,17.5,10.0,-20.0,0.8626595291383987
8681,38308,501502_bpc,502201_mpc,77.5,75.0,2.5,20.0,0.9858947238107337
4255,35469,508904_cec,509104_cec,18.75,21.25,-2.5,-21.557129,0.8128309035574186
24648,5608,510102_bpc,513704_cec,18.0,21.75,-3.75,17.0,0.9417384514183377
34033,4709,506602_bpc,506502_bpc,30.0,26.25,3.75,2.0,0.9215151871834998
28116,4751,502702_bpc,502505_hec,25.25,15.25,10.0,-11.0,0.8746076873015802
19873,14313,513704_cec,514702_bpc,37.5,28.75,8.75,-0.4428711,0.6924228728929636
10583,12755,506101_mpc,506302_bpc,31.25,24.25,7.0,6.0,0.7639242238103107
21243,8548,509401_mpc,509001_mpc,40.25,37.75,2.5,-10.0,0.7873854742967382
27164,8031,506904_cec,502801_mpc,52.25,55.75,-3.5,7.0,0.8093066166572864
25595,68,506302_bpc,506102_bpc,62.25,53.25,9.0,11.0,0.9675786577950967
8469,36567,503001_mpc,503002_bpc,25.5,34.0,-8.5,35.0,0.7940819025232845
18440,26997,503602_bpc,504002_bpc,41.25,45.0,-3.75,10.0,0.7849618425167751
18892,19322,506903_mec,506701_mpc,21.5,17.5,4.0,27.0,0.9394050708736608
34556,14032,504002_bpc,503202_bpc,36.25,40.5,-4.25,-7.0,0.6968622367659304
2578,6088,507402_bpc,508202_bpc,23.75,22.75,1.0,13.0,0.9526419591319929
19678,17407,505701_mpc,505301_mpc,48.75,45.75,3.0,-6.0,0.9716629758853872
7053,35713,501801_mpc,501904_cec,29.25,26.25,3.0,-1.0,0.7402647791213199
5162,5732,508501_mpc,509104_cec,27.25,21.25,6.0,-33.0,0.9063289267638392
18093,27848,514302_bpc,514601_mpc,62.5,91.75,-29.25,-43.0,0.8768817944780667
33065,8577,507201_mpc,507001_mpc,23.25,22.5,0.75,28.0,0.9703786796531653
8850,14479,509002_bpc,509502_bpc,23.75,30.0,-6.25,17.0,0.8279488296345741
20634,6090,512901_mpc,506001_mpc,15.0,11.5,3.5,-5.0,0.9486631240147358
4797,13043,505203_mec,506002_bpc,28.5,26.25,2.25,6.0,0.8191640794772247
14832,38049,507402_bpc,508202_bpc,62.75,76.0,-13.25,0.0,0.93858457916443
11674,35593,509501_mpc,508701_mpc,53.75,75.0,-21.25,-2.0,0.9042340920167274
8165,6441,508101_mpc,502505_hec,30.0,12.5,17.5,16.0,0.6560480751800135
22722,25156,505901_mpc,505502_bpc,29.0,26.5,2.5,-20.0,0.9242380779366186
29898,29382,511902_bpc,510102_bpc,31.25,25.5,5.75,-10.0,0.8916840686394238
30111,39426,511603_mec,511604_cec,23.75,12.5,11.25,2.0,0.8935023154887889
4162,19058,515002_bpc,508502_bpc,35.5,31.5,4.0,11.0,0.8361600529860236
