student_i,student_j,college_i,college_j,marks_i,marks_j,marks_diff,outcome_diff,weight
5272,17810,507202_bpc,506404_cec,27.5,20.0,7.5,-3.0,0.9038673945536887
5182,21957,507201_mpc,507301_mpc,22.5,23.0,-0.5,23.0,0.8997001919226701
3917,29858,509104_cec,508904_cec,21.25,11.5,9.75,-10.557129,0.8146274997968059
5204,4221,508702_bpc,508302_bpc,47.25,47.5,-0.25,-13.0,0.9284522514645516
38201,5351,505802_bpc,505902_bpc,33.25,38.75,-5.5,-18.442871,0.874671783469528
19896,25469,512601_mpc,512502_bpc,40.5,46.25,-5.75,8.0,0.8167629101017214
24151,21169,514802_bpc,514602_bpc,18.75,27.75,-9.0,5.0,0.9255413708316427
14824,16109,506702_bpc,506502_bpc,39.5,48.0,-8.5,0.0,0.7855082939332798
17358,5740,507501_mpc,501601_mpc,48.75,75.75,-27.0,-7.0,0.7116741381563771
11035,14664,508102_bpc,508202_bpc,22.75,23.75,-1.0,-7.0,0.9488681585447504
24524,15625,502102_bpc,501602_bpc,42.5,42.0,0.5,13.0,0.9719425365083718
20377,24463,510102_bpc,512402_bpc,31.5,19.0,12.5,2.0,0.8168367504377676
9508,17177,506801_mpc,506702_bpc,42.5,57.25,-14.75,1.0,0.5997521787444268
12818,38949,506601_mpc,507001_mpc,57.5,50.75,6.75,30.0,0.903069840864224
3625,7286,509202_bpc,509302_bpc,63.5,54.75,8.75,-5.0,0.9462222669416488
16886,25122,501904_cec,501602_bpc,26.25,22.5,3.75,-1.0,0.9025534130308854
25906,14059,510101_mpc,501601_mpc,70.0,105.25,-35.25,-10.0,0.9219968927766398
38585,13384,511201_mpc,514301_mpc,66.0,97.75,-31.75,12.0,0.9038906592043141
9668,16728,505101_mpc,505602_bpc,21.25,24.0,-2.75,-5.0,0.9114857953544551
15099,22040,504903_mec,504504_cec,22.5,23.75,-1.25,16.0,0.9251354177319335
18597,4056,503301_mpc,503201_mpc,63.5,66.25,-2.75,-6.0,0.9439297373784071
38315,39003,512104_cec,513904_cec,10.0,11.25,-1.25,-5.0,0.967447193641863
4099,6967,507802_bpc,508102_bpc,15.0,9.25,5.75,25.0,0.9372372830678978
2752,13228,514501_mpc,505301_mpc,86.25,94.0,-7.75,-6.0,0.9485850238559231
14014,37300,505601_mpc,505901_mpc,36.25,31.25,5.0,15.0,0.7129869174235663
38581,15001,505502_bpc,505501_mpc,34.25,37.0,-2.75,-4.0,0.8511002223359039
3719,12803,509301_mpc,506201_mpc,39.5,43.75,-4.25,17.0,0.7555685836736444
19068,19988,506404_cec,503905_hec,17.75,7.75,10.0,21.0,0.8967979930578011
2959,8566,506001_mpc,505801_mpc,30.5,22.0,8.5,-8.0,0.9051915954324212
16661,25592,511402_bpc,511603_mec,19.0,23.0,-4.0,-3.0,0.891530697722455
5145,20379,512502_bpc,511902_bpc,17.5,-2.5,20.0,50.0,0.8177035188594376
19308,18397,509402_bpc,508502_bpc,37.75,42.0,-4.25,-7.0,0.7991424685715922
7940,34630,503801_mpc,504201_mpc,43.75,53.75,-10.0,2.0,0.7499805163945317
16283,4245,503002_bpc,502702_bpc,35.25,43.75,-8.5,-12.0,0.7658892829257136
