,pair_id,pair_bin,student_id,candidate_id_68k,gtot,college_attended,englishmarks_12,gtot_dm,englishmarks_12_dm
33,501502_bpcx501602_bpc.1,501502_bpcx501602_bpc.1__marks_40_44,2010022893,2010022893,969.0,501502_bpc,90.0,54.928571428571445,3.0714285714285694
34,501502_bpcx501602_bpc.1,501502_bpcx501602_bpc.1__marks_40_44,2010023040,2010023040,922.0,501502_bpc,91.0,7.928571428571445,4.071428571428569
35,501502_bpcx501602_bpc.1,501502_bpcx501602_bpc.1__marks_40_44,2010010214,2010010214,961.0,501502_bpc,94.0,46.928571428571445,7.071428571428569
36,501502_bpcx501602_bpc.1,501502_bpcx501602_bpc.1__marks_40_44,2010012748,2010012748,955.0,501502_bpc,93.0,40.928571428571445,6.071428571428569
37,501502_bpcx501602_bpc.1,501502_bpcx501602_bpc.1__marks_40_44,2010012791,2010012791,919.0,501502_bpc,86.0,4.928571428571445,-0.9285714285714306
38,501502_bpcx501602_bpc.1,501502_bpcx501602_bpc.1__marks_40_44,2010013003,2010013003,909.0,501502_bpc,71.0,-5.071428571428555,-15.92857142857143
39,501502_bpcx501602_bpc.1,501502_bpcx501602_bpc.1__marks_40_44,2010042864,2010042864,927.0,501502_bpc,85.0,12.928571428571445,-1.9285714285714306
40,501502_bpcx501602_bpc.1,501502_bpcx501602_bpc.1__marks_40_44,2010028173,2010028173,934.0,501502_bpc,88.0,19.928571428571445,1.0714285714285694
41,501502_bpcx501602_bpc.1,501502_bpcx501602_bpc.1__marks_45_49,2010016109,2010016109,931.0,501602_bpc,88.0,-5.333333333333371,-0.7777777777777715
42,501502_bpcx501602_bpc.1,501502_bpcx501602_bpc.1__marks_45_49,2010030929,2010030929,905.0,501502_bpc,83.0,-31.33333333333337,-5.7777777777777715
43,501502_bpcx501602_bpc.1,501502_bpcx501602_bpc.1__marks_45_49,2010003355,2010003355,943.0,501502_bpc,93.0,6.666666666666629,4.2222222222222285
44,501502_bpcx501602_bpc.1,501502_bpcx501602_bpc.1__marks_45_49,2010017962,2010017962,939.0,501502_bpc,94.0,2.6666666666666288,5.2222222222222285
45,501502_bpcx501602_bpc.1,501502_bpcx501602_bpc.1__marks_45_49,2010018096,2010018096,911.0,501502_bpc,96.0,-25.33333333333337,7.2222222222222285
46,501502_bpcx501602_bpc.1,501502_bpcx501602_bpc.1__marks_45_49,2010012197,2010012197,949.0,501502_bpc,77.0,12.666666666666629,-11.777777777777771
47,501502_bpcx501602_bpc.1,501502_bpcx501602_bpc.1__marks_45_49,2010012695,2010012695,979.0,501502_bpc,94.0,42.66666666666663,5.2222222222222285
48,501502_bpcx501602_bpc.1,501502_bpcx501602_bpc.1__marks_45_49,2010012779,2010012779,906.0,501502_bpc,84.0,-30.33333333333337,-4.7777777777777715
49,501502_bpcx501602_bpc.1,501502_bpcx501602_bpc.1__marks_45_49,2010013424,2010013424,964.0,501502_bpc,90.0,27.66666666666663,1.2222222222222285
50,501502_bpcx501801_mpc.1,501502_bpcx501801_mpc.1__marks_25_29,2010059735,2010059735,838.0,501502_bpc,71.0,-34.428571428571445,-7.714285714285708
51,501502_bpcx501801_mpc.1,501502_bpcx501801_mpc.1__marks_25_29,2010060944,2010060944,796.0,501801_mpc,61.0,-76.42857142857144,-17.714285714285708
52,501502_bpcx501801_mpc.1,501502_bpcx501801_mpc.1__marks_25_29,2010066627,2010066627,872.0,501801_mpc,82.0,-0.4285714285714448,3.285714285714292
53,501502_bpcx501801_mpc.1,501502_bpcx501801_mpc.1__marks_25_29,2010039326,2010039326,884.0,501502_bpc,78.0,11.571428571428555,-0.7142857142857082
54,501502_bpcx501801_mpc.1,501502_bpcx501801_mpc.1__marks_25_29,2010055004,2010055004,888.0,501801_mpc,83.0,15.571428571428555,4.285714285714292
55,501502_bpcx501801_mpc.1,501502_bpcx501801_mpc.1__marks_25_29,2010055098,2010055098,894.0,501502_bpc,86.0,21.571428571428555,7.285714285714292
56,501502_bpcx501801_mpc.1,501502_bpcx501801_mpc.1__marks_25_29,2010013622,2010013622,935.0,501502_bpc,90.0,62.571428571428555,11.285714285714292
57,501502_bpcx501801_mpc.1,501502_bpcx501801_mpc.1__marks_30_34,2010017143,2010017143,944.0,501502_bpc,90.0,9.0,2.5
58,501502_bpcx501801_mpc.1,501502_bpcx501801_mpc.1__marks_30_34,2010055856,2010055856,926.0,501801_mpc,85.0,-9.0,-2.5
59,501502_bpcx501801_mpc.1,501502_bpcx501801_mpc.1__marks_35_39,2010028732,2010028732,894.0,501801_mpc,87.0,-24.81818181818187,-1.6363636363636402
60,501502_bpcx501801_mpc.1,501502_bpcx501801_mpc.1__marks_35_39,2010015453,2010015453,949.0,501502_bpc,90.0,30.18181818181813,1.3636363636363598
61,501502_bpcx501801_mpc.1,501502_bpcx501801_mpc.1__marks_35_39,2010015662,2010015662,940.0,501502_bpc,91.0,21.18181818181813,2.3636363636363598
62,501502_bpcx501801_mpc.1,501502_bpcx501801_mpc.1__marks_35_39,2010045717,2010045717,895.0,501502_bpc,80.0,-23.81818181818187,-8.63636363636364
63,501502_bpcx501801_mpc.1,501502_bpcx501801_mpc.1__marks_35_39,2010034185,2010034185,925.0,501502_bpc,81.0,6.18181818181813,-7.63636363636364
64,501502_bpcx501801_mpc.1,501502_bpcx501801_mpc.1__marks_35_39,2010019918,2010019918,878.0,501502_bpc,88.0,-40.81818181818187,-0.6363636363636402
65,501502_bpcx501801_mpc.1,501502_bpcx501801_mpc.1__marks_35_39,2010020220,2010020220,974.0,501502_bpc,95.0,55.18181818181813,6.36363636363636
66,501502_bpcx501801_mpc.1,501502_bpcx501801_mpc.1__marks_35_39,2010022612,2010022612,945.0,501502_bpc,95.0,26.18181818181813,6.36363636363636
67,501502_bpcx501801_mpc.1,501502_bpcx501801_mpc.1__marks_35_39,2010010830,2010010830,951.0,501502_bpc,93.0,32.18181818181813,4.36363636363636
68,501502_bpcx501801_mpc.1,501502_bpcx501801_mpc.1__marks_35_39,2010011311,2010011311,895.0,501502_bpc,94.0,-23.81818181818187,5.36363636363636
69,501502_bpcx501801_mpc.1,501502_bpcx501801_mpc.1__marks_35_39,2010012843,2010012843,861.0,501502_bpc,81.0,-57.81818181818187,-7.63636363636364
70,501502_bpcx501801_mpc.1,501502_bpcx501801_mpc.1__marks_45_49,2010018096,2010018096,911.0,501502_bpc,96.0,-27.33333333333337,7.5
71,501502_bpcx501801_mpc.1,501502_bpcx501801_mpc.1__marks_45_49,2010007842,2010007842,921.0,501801_mpc,90.0,-17.33333333333337,1.5
72,501502_bpcx501801_mpc.1,501502_bpcx501801_mpc.1__marks_45_49,2010012197,2010012197,949.0,501502_bpc,77.0,10.666666666666629,-11.5
73,501502_bpcx501801_mpc.1,501502_bpcx501801_mpc.1__marks_45_49,2010012695,2010012695,979.0,501502_bpc,94.0,40.66666666666663,5.5
74,501502_bpcx501801_mpc.1,501502_bpcx501801_mpc.1__marks_45_49,2010012779,2010012779,906.0,501502_bpc,84.0,-32.33333333333337,-4.5
75,501502_bpcx501801_mpc.1,501502_bpcx501801_mpc.1__marks_45_49,2010013424,2010013424,964.0,501502_bpc,90.0,25.66666666666663,1.5
76,501502_bpcx501802_bpc.1,501502_bpcx501802_bpc.1__marks_20_24,2010043342,2010043342,875.0,501802_bpc,84.0,-42.75,-4.25
