stream,college_code,coef,std_err
BPC,501602_bpc,-10.258765031265028,4.5517725570574115
BPC,501802_bpc,9.150848164181493,3.569388641885765
BPC,502102_bpc,-6.8752278025005396,5.769800168129349
BPC,502202_bpc,-10.680327245053272,5.198535041827178
BPC,502702_bpc,14.950612244897957,6.7991037638093035
BPC,502802_bpc,1.8442430703624795,4.511172324346717
BPC,503002_bpc,-23.402142857142856,10.93283772818004
BPC,503102_bpc,24.18331964969896,7.189940696937172
BPC,503202_bpc,9.959583147900899,4.246733338443207
BPC,503302_bpc,-8.569623788909508,4.529048704402137
BPC,503602_bpc,-7.425355915562095,5.61927616589952
BPC,503802_bpc,17.590345614530392,5.185520771046095
BPC,504002_bpc,-11.739801587301589,5.701832464319761
BPC,504202_bpc,-17.72956375732111,4.197027029209258
BPC,504402_bpc,1.5657986111111197,2.9065137864521597
BPC,504702_bpc,-1.9027426160337375,3.5226723023261175
BPC,505102_bpc,10.366861427597623,3.797239454656573
BPC,505302_bpc,0.5297392877703757,4.182097120757859
BPC,505402_bpc,-8.836106330082233,4.5097439390683265
BPC,505502_bpc,11.138652566071915,4.3686109658353205
BPC,505602_bpc,-13.12754089952885,3.430210115803666
BPC,505702_bpc,-18.614139962204966,4.120832209395029
BPC,505802_bpc,9.698322230446589,3.74349552647592
BPC,505902_bpc,10.7833003669556,3.063542320547387
BPC,506002_bpc,0.7096059393702814,3.1650598949321864
BPC,506102_bpc,19.568861024033424,12.407855929050065
BPC,506202_bpc,9.297707231040564,5.352006428372876
BPC,506302_bpc,-15.963778510047185,7.548998325853814
BPC,506502_bpc,-13.301961665169213,7.615284232637213
BPC,506602_bpc,26.843922692533813,7.784313789718274
BPC,506702_bpc,-16.789350313768928,6.6990358545900595
BPC,506802_bpc,-1.5875064004096338,4.200135773662568
BPC,507002_bpc,12.823276190476198,5.161302854689151
BPC,507202_bpc,-14.859443204365064,4.905895638367218
BPC,507302_bpc,8.776779513888872,6.159574515485648
BPC,507402_bpc,-5.005099123099115,3.667686746935819
BPC,507502_bpc,6.51068892571784,3.635659158632469
BPC,507602_bpc,-13.92927818793673,3.6191001757759573
BPC,507702_bpc,12.747977081811005,3.9916946563609557
BPC,507802_bpc,14.055805941488767,3.6711690051106425
BPC,508002_bpc,-5.682226288507692,3.449417475610555
BPC,508102_bpc,-21.511217742543046,4.550265258775711
BPC,508202_bpc,11.250620722946309,4.560784636260015
BPC,508302_bpc,7.562088236822277,3.723751626569057
BPC,508402_bpc,14.99589677795322,4.73066511427829
BPC,508502_bpc,-13.471465909569352,4.0103692142825045
BPC,508702_bpc,-1.7717119233423557,3.750660907361975
BPC,508802_bpc,0.3733477011494286,6.223663614733493
BPC,509002_bpc,18.513187207270054,6.296104064773721
BPC,509202_bpc,-6.139908274167537,4.497138204141705
BPC,509302_bpc,20.404223744292242,4.203182401993623
BPC,509402_bpc,2.5437995183828512,4.873488744664552
BPC,509502_bpc,-13.700548696844987,4.601780427656631
BPC,510102_bpc,6.572161172161179,5.732440908571431
BPC,511202_bpc,-0.48115079365079727,1.2740047813669828
BPC,511402_bpc,0.48115079365078506,1.3009188489346828
BPC,511702_bpc,-21.408088235294116,6.495375518781071
BPC,511802_bpc,21.727611940298516,6.7214134225869175
BPC,511902_bpc,-23.249999999999986,5.837017762876705
BPC,512202_bpc,-12.91791044776119,10.979838183324176
BPC,512402_bpc,39.65059523809525,8.963495566154178
BPC,512502_bpc,-9.943027210884356,7.127951086150161
BPC,512602_bpc,1.0315734989647964,6.064976905392702
BPC,512702_bpc,10.24316939890711,4.978522322039466
BPC,512802_bpc,-1.2777360066833836,3.6578311879723935
BPC,512902_bpc,1.3487213403880034,3.8854909424805686
BPC,513202_bpc,-6.217248937900877e-15,5.476794457215049e-15
BPC,513602_bpc,27.32926829268293,13.260658913173083
BPC,514002_bpc,-12.413461538461537,11.475728591162992
BPC,514202_bpc,-6.985294117647077,8.461495866408214
BPC,514302_bpc,36.3550505050505,9.794305728993036
BPC,514402_bpc,-49.491203703703704,16.868458219796963
BPC,514502_bpc,-9.220149253731348,8.61854951210111
BPC,514602_bpc,42.25971177944861,12.918524183837325
BPC,514702_bpc,-26.555574229691874,8.923668909755174
BPC,514802_bpc,-11.940015360983105,10.525657842067373
BPC,514902_bpc,1.8560374149659884,5.51307147627002
BPC,515002_bpc,-16.61003915674968,5.695368233357743
MPC,501801_mpc,5.965699689837617,2.181064145340196
MPC,502101_mpc,4.116112824026496,1.6219230200222206
MPC,502201_mpc,-7.587776360544218,2.9723419178416908
MPC,502701_mpc,19.922727272727276,7.346753111091882
