specification,college_code,value_added,std_error,t_value,p_value,ci_lower,ci_upper,sig,baseline_college
attempt_1,503801_mpc,3.995790633323197,1.4079224865396165,2.8380757261317897,0.004538641346567547,1.2363132666814698,6.755267999964924,**,501502_bpc
attempt_1,504904_cec,1.8330655228408916,1.817817563705953,1.0083880579874325,0.3132682036698078,-1.7297914324871215,5.395922478168905,,501502_bpc
attempt_1,507802_bpc,1.0133542679005754,1.4857727878613627,0.6820385163731585,0.4952145963547563,-1.8987068855173657,3.925415421318516,,501502_bpc
attempt_1,503802_bpc,0.44084032499975934,1.6425363313869301,0.2683899994026441,0.7883991365495031,-2.778471727817171,3.6601523778166896,,501502_bpc
attempt_1,505101_mpc,0.1120231700442366,1.2340978182961304,0.09077333124119977,0.9276727011325336,-2.306764107215635,2.530810447304108,,501502_bpc
attempt_1,501502_bpc,0.0,,,,,,,501502_bpc
attempt_1,503202_bpc,-1.108138167011854,1.40994758087173,-0.7859428123751409,0.4319009913327193,-3.87158464560982,1.6553083115861122,,501502_bpc
attempt_1,505501_mpc,-1.2255410159460864,1.2311676638444768,-0.9954298280700287,0.31952725738608345,-3.638585296011577,1.187503264119404,,501502_bpc
attempt_1,506601_mpc,-1.3146347852390938,1.5350591881882467,-0.8564065772543216,0.39177292785904627,-4.323295508225351,1.6940259377471627,,501502_bpc
attempt_1,504402_bpc,-1.35623960788893,1.7579596598274316,-0.7714850567288125,0.4404194764068944,-4.801777227424981,2.089298011647121,,501502_bpc
attempt_1,506102_bpc,-1.3793380055716584,1.4270952961886845,-0.9665353177572861,0.3337763831432311,-4.176393388608001,1.417717377464684,,501502_bpc
attempt_1,503201_mpc,-1.580476032079623,1.3817339815515517,-1.1438352484498524,0.2526919686772352,-4.288624872135795,1.1276728079765497,,501502_bpc
attempt_1,504903_mec,-1.5877862067513906,1.857001142262419,-0.8550270490501481,0.3925361734329845,-5.227441564835473,2.051869151332692,,501502_bpc
attempt_1,501802_bpc,-1.8546645452221873,0.6620808225842809,-2.8012660719924325,0.005090253087484998,-3.152319112342031,-0.5570099781023434,**,501502_bpc
attempt_1,506602_bpc,-2.2118338815805387,1.3562547547789932,-1.6308395408655842,0.10292418167447163,-4.870044354808568,0.44637659164749044,,501502_bpc
attempt_1,507801_mpc,-2.2127683291876363,1.6267353319014972,-1.3602509798573827,0.173750514977558,-5.401110992093383,0.9755743337181095,,501502_bpc
attempt_1,506302_bpc,-2.6337517811923585,1.4551149658831726,-1.8099956655959621,0.07029645933181851,-5.485724707688606,0.21822114530388914,,501502_bpc
attempt_1,509002_bpc,-2.8261853556496375,1.556894986335725,-1.815270381402722,0.06948236834311275,-5.877643456578639,0.22527274527936347,,501502_bpc
