college_code,value_added,std_error,p_value
501601_mpc,1.1668616229839701,0.6014289330001729,0.05236160870820967
501602_bpc,0.8707244561348478,0.3867312683917672,0.02435404960666392
501801_mpc,0.43097800648117296,0.46390520597774804,0.35287783679936724
501802_bpc,0.8406744848152142,0.3596566402217028,0.01941650973016188
501903_mec,-1.3665162056693814,0.5747110711945645,0.017418881107863597
501904_cec,-0.8002189972797532,0.43437678305199806,0.06544250485168741
502004_cec,-0.9401322226386412,0.5843766036799227,0.1076648934811665
502005_hec,-0.7699385411255417,0.8747279197055152,0.3787490996749311
502101_mpc,0.2231256931706076,0.44041607512064107,0.6124181243314362
502102_bpc,0.16754288300594936,0.28075954286718957,0.5506751947664292
502201_mpc,0.28853544119096886,0.6468645901854668,0.6555594643132988
502202_bpc,-4.324155519853161,0.6628227580167257,6.852574506279473e-11
502504_cec,1.6726490128839413,0.8713004186748204,0.054893831672973514
502505_hec,-0.08731230952380997,1.2739158663108445,0.9453569567259599
502701_mpc,0.05284185099846378,0.8643142208525418,0.9512498514447267
502702_bpc,2.7633033815097954,0.7123766567527654,0.00010489018643523561
502801_mpc,1.2446164741652121,0.8268776340554272,0.13227258455479038
502802_bpc,-0.2887348513330369,0.42010187046505704,0.4918954448639504
503001_mpc,-1.9207463057649423,0.9485314435775671,0.042870597642545694
503002_bpc,-1.9315975638182215,0.8759945402888976,0.027451723293951236
503101_mpc,-0.9747448711735502,0.3946359005051327,0.013511860627067397
503102_bpc,-0.9627008962433956,0.5843082379521246,0.09943666290484567
503201_mpc,2.374670278745644,0.6133785970951456,0.00010818571972152315
503202_bpc,3.1303288285596085,0.6527182852175354,1.6199904490005365e-06
503301_mpc,-1.932327108490759,0.6361767511423092,0.002386237821384098
503302_bpc,-0.6640087900259735,0.5425422170802773,0.22099595461291133
503601_mpc,1.158143021034972,0.6043978984552391,0.05534053430093469
503602_bpc,-0.34702411530788646,0.4913234725534215,0.47999862387249714
503801_mpc,5.498584940358787,0.9020305402102393,1.0890116939491908e-09
503802_bpc,3.3525908413395036,0.6190237822317024,6.097019952882145e-08
503904_cec,0.6813281387953605,0.9508467751756348,0.47365253115138184
503905_hec,3.922916666666666,1.7963894204193718,0.028978525210295782
504001_mpc,-3.6032354071965944,0.7438940630569427,1.2741248923262054e-06
504002_bpc,-2.25274474200227,0.6743482802541318,0.0008359003457146874
504201_mpc,-4.7459932097511075,0.965776751924429,8.915838776641123e-07
504202_bpc,-1.3072855088270146,0.6187700101256188,0.034625054197832496
504401_mpc,-0.4071978863461093,0.5604984666726406,0.46753695386419836
504402_bpc,1.153358049604451,0.5790528963576389,0.04639291325753824
504503_mec,-2.672402190717167,0.8961151844309659,0.002861771638800023
504504_cec,-3.0466217422611646,1.2175453342329436,0.012340132822583779
504701_mpc,0.102482758698755,1.0655653685441893,0.9233800882076153
504702_bpc,-0.15410174631744777,0.4258669693186468,0.7174609960312242
504903_mec,2.855755177143066,0.9151349970777615,0.0018049311533137554
504904_cec,4.36380082451499,1.2992813263065288,0.0007833083176007385
505101_mpc,4.0778567312520195,0.5071284397207891,8.905528637314577e-16
505102_bpc,2.171187274585045,0.5037220507060303,1.6304182777281593e-05
505203_mec,-0.9897795212765953,0.9795932436552643,0.3123044173480497
505204_cec,-1.434838604691877,0.8534508912050992,0.09272021348519702
505301_mpc,-2.6398448909456103,0.5829254764296702,5.937164496423167e-06
