,pair_id,pair_bin,student_id,candidate_id_68k,gtot,college_attended,englishmarks_12
41,501502_bpcx501602_bpc.1,501502_bpcx501602_bpc.1__marks_40_49,2010010214,2010010214,961.0,501502_BPC,94.0
42,501502_bpcx501602_bpc.1,501502_bpcx501602_bpc.1__marks_40_49,2010012197,2010012197,949.0,501502_BPC,77.0
43,501502_bpcx501602_bpc.1,501502_bpcx501602_bpc.1__marks_40_49,2010012695,2010012695,979.0,501502_BPC,94.0
44,501502_bpcx501602_bpc.1,501502_bpcx501602_bpc.1__marks_40_49,2010012748,2010012748,955.0,501502_BPC,93.0
45,501502_bpcx501602_bpc.1,501502_bpcx501602_bpc.1__marks_40_49,2010012779,2010012779,906.0,501502_BPC,84.0
46,501502_bpcx501602_bpc.1,501502_bpcx501602_bpc.1__marks_40_49,2010012791,2010012791,919.0,501502_BPC,86.0
47,501502_bpcx501602_bpc.1,501502_bpcx501602_bpc.1__marks_40_49,2010013003,2010013003,909.0,501502_BPC,71.0
48,501502_bpcx501602_bpc.1,501502_bpcx501602_bpc.1__marks_40_49,2010013424,2010013424,964.0,501502_BPC,90.0
49,501502_bpcx501602_bpc.1,501502_bpcx501602_bpc.1__marks_40_49,2010042864,2010042864,927.0,501502_BPC,85.0
50,501502_bpcx501602_bpc.1,501502_bpcx501602_bpc.1__marks_40_49,2010028173,2010028173,934.0,501502_BPC,88.0
51,501502_bpcx501801_mpc.1,501502_bpcx501801_mpc.1__marks_20_29,2010059735,2010059735,838.0,501502_BPC,71.0
52,501502_bpcx501801_mpc.1,501502_bpcx501801_mpc.1__marks_20_29,2010060944,2010060944,796.0,501801_MPC,61.0
53,501502_bpcx501801_mpc.1,501502_bpcx501801_mpc.1__marks_20_29,2010048560,2010048560,938.0,501502_BPC,90.0
54,501502_bpcx501801_mpc.1,501502_bpcx501801_mpc.1__marks_20_29,2010066627,2010066627,872.0,501801_MPC,82.0
55,501502_bpcx501801_mpc.1,501502_bpcx501801_mpc.1__marks_20_29,2010039326,2010039326,884.0,501502_BPC,78.0
56,501502_bpcx501801_mpc.1,501502_bpcx501801_mpc.1__marks_20_29,2010055004,2010055004,888.0,501801_MPC,83.0
57,501502_bpcx501801_mpc.1,501502_bpcx501801_mpc.1__marks_20_29,2010055098,2010055098,894.0,501502_BPC,86.0
58,501502_bpcx501801_mpc.1,501502_bpcx501801_mpc.1__marks_20_29,2010012955,2010012955,905.0,501502_BPC,95.0
59,501502_bpcx501801_mpc.1,501502_bpcx501801_mpc.1__marks_20_29,2010013549,2010013549,963.0,501502_BPC,88.0
60,501502_bpcx501801_mpc.1,501502_bpcx501801_mpc.1__marks_20_29,2010013622,2010013622,935.0,501502_BPC,90.0
61,501502_bpcx501801_mpc.1,501502_bpcx501801_mpc.1__marks_30_39,2010028732,2010028732,894.0,501801_MPC,87.0
62,501502_bpcx501801_mpc.1,501502_bpcx501801_mpc.1__marks_30_39,2010015453,2010015453,949.0,501502_BPC,90.0
63,501502_bpcx501801_mpc.1,501502_bpcx501801_mpc.1__marks_30_39,2010015662,2010015662,940.0,501502_BPC,91.0
64,501502_bpcx501801_mpc.1,501502_bpcx501801_mpc.1__marks_30_39,2010045717,2010045717,895.0,501502_BPC,80.0
65,501502_bpcx501801_mpc.1,501502_bpcx501801_mpc.1__marks_30_39,2010017143,2010017143,944.0,501502_BPC,90.0
66,501502_bpcx501801_mpc.1,501502_bpcx501801_mpc.1__marks_30_39,2010034185,2010034185,925.0,501502_BPC,81.0
67,501502_bpcx501801_mpc.1,501502_bpcx501801_mpc.1__marks_30_39,2010019918,2010019918,878.0,501502_BPC,88.0
68,501502_bpcx501801_mpc.1,501502_bpcx501801_mpc.1__marks_30_39,2010020220,2010020220,974.0,501502_BPC,95.0
69,501502_bpcx501801_mpc.1,501502_bpcx501801_mpc.1__marks_30_39,2010022612,2010022612,945.0,501502_BPC,95.0
70,501502_bpcx501801_mpc.1,501502_bpcx501801_mpc.1__marks_30_39,2010010830,2010010830,951.0,501502_BPC,93.0
71,501502_bpcx501801_mpc.1,501502_bpcx501801_mpc.1__marks_30_39,2010011311,2010011311,895.0,501502_BPC,94.0
72,501502_bpcx501801_mpc.1,501502_bpcx501801_mpc.1__marks_30_39,2010055856,2010055856,926.0,501801_MPC,85.0
73,501502_bpcx501801_mpc.1,501502_bpcx501801_mpc.1__marks_30_39,2010012843,2010012843,861.0,501502_BPC,81.0
74,501502_bpcx501801_mpc.1,501502_bpcx501801_mpc.1__marks_40_49,2010000038,2010000038,942.0,501502_BPC,90.0
75,501502_bpcx501801_mpc.1,501502_bpcx501801_mpc.1__marks_40_49,2010044124,2010044124,929.0,501502_BPC,87.0
76,501502_bpcx501801_mpc.1,501502_bpcx501801_mpc.1__marks_40_49,2010003431,2010003431,919.0,501502_BPC,77.0
77,501502_bpcx501801_mpc.1,501502_bpcx501801_mpc.1__marks_40_49,2010018096,2010018096,911.0,501502_BPC,96.0
78,501502_bpcx501801_mpc.1,501502_bpcx501801_mpc.1__marks_40_49,2010019872,2010019872,870.0,501502_BPC,83.0
79,501502_bpcx501801_mpc.1,501502_bpcx501801_mpc.1__marks_40_49,2010021740,2010021740,946.0,501502_BPC,88.0
80,501502_bpcx501801_mpc.1,501502_bpcx501801_mpc.1__marks_40_49,2010007842,2010007842,921.0,501801_MPC,90.0
81,501502_bpcx501801_mpc.1,501502_bpcx501801_mpc.1__marks_40_49,2010022398,2010022398,929.0,501502_BPC,95.0
82,501502_bpcx501801_mpc.1,501502_bpcx501801_mpc.1__marks_40_49,2010024342,2010024342,887.0,501502_BPC,96.0
83,501502_bpcx501801_mpc.1,501502_bpcx501801_mpc.1__marks_40_49,2010010983,2010010983,901.0,501502_BPC,86.0
84,501502_bpcx501801_mpc.1,501502_bpcx501801_mpc.1__marks_40_49,2010012197,2010012197,949.0,501502_BPC,77.0
85,501502_bpcx501801_mpc.1,501502_bpcx501801_mpc.1__marks_40_49,2010012695,2010012695,979.0,501502_BPC,94.0
86,501502_bpcx501801_mpc.1,501502_bpcx501801_mpc.1__marks_40_49,2010012748,2010012748,955.0,501502_BPC,93.0
87,501502_bpcx501801_mpc.1,501502_bpcx501801_mpc.1__marks_40_49,2010012779,2010012779,906.0,501502_BPC,84.0
88,501502_bpcx501801_mpc.1,501502_bpcx501801_mpc.1__marks_40_49,2010012791,2010012791,919.0,501502_BPC,86.0
89,501502_bpcx501801_mpc.1,501502_bpcx501801_mpc.1__marks_40_49,2010013003,2010013003,909.0,501502_BPC,71.0
90,501502_bpcx501801_mpc.1,501502_bpcx501801_mpc.1__marks_40_49,2010013034,2010013034,918.0,501502_BPC,92.0
91,501502_bpcx501801_mpc.1,501502_bpcx501801_mpc.1__marks_40_49,2010013424,2010013424,964.0,501502_BPC,90.0
92,501502_bpcx501801_mpc.1,501502_bpcx501801_mpc.1__marks_40_49,2010042864,2010042864,927.0,501502_BPC,85.0
93,501502_bpcx501801_mpc.1,501502_bpcx501801_mpc.1__marks_40_49,2010028173,2010028173,934.0,501502_BPC,88.0
94,501502_bpcx501802_bpc.1,501502_bpcx501802_bpc.1__marks_20_29,2010043342,2010043342,875.0,501802_BPC,84.0
95,501502_bpcx501802_bpc.1,501502_bpcx501802_bpc.1__marks_20_29,2010059735,2010059735,838.0,501502_BPC,71.0
96,501502_bpcx501802_bpc.1,501502_bpcx501802_bpc.1__marks_20_29,2010020368,2010020368,865.0,501502_BPC,92.0
97,501502_bpcx501802_bpc.1,501502_bpcx501802_bpc.1__marks_20_29,2010035250,2010035250,928.0,501802_BPC,86.0
98,501502_bpcx501802_bpc.1,501502_bpcx501802_bpc.1__marks_20_29,2010022521,2010022521,881.0,501502_BPC,83.0
99,501502_bpcx501802_bpc.1,501502_bpcx501802_bpc.1__marks_20_29,2010039326,2010039326,884.0,501502_BPC,78.0
100,501502_bpcx501802_bpc.1,501502_bpcx501802_bpc.1__marks_20_29,2010024950,2010024950,918.0,501802_BPC,95.0
101,501502_bpcx501802_bpc.1,501502_bpcx501802_bpc.1__marks_20_29,2010055098,2010055098,894.0,501502_BPC,86.0
102,501502_bpcx501802_bpc.1,501502_bpcx501802_bpc.1__marks_20_29,2010012732,2010012732,900.0,501802_BPC,91.0
103,501502_bpcx501802_bpc.1,501502_bpcx501802_bpc.1__marks_20_29,2010012955,2010012955,905.0,501502_BPC,95.0
104,501502_bpcx501802_bpc.1,501502_bpcx501802_bpc.1__marks_20_29,2010013275,2010013275,917.0,501502_BPC,95.0
105,501502_bpcx501802_bpc.1,501502_bpcx501802_bpc.1__marks_20_29,2010013549,2010013549,963.0,501502_BPC,88.0
106,501502_bpcx501802_bpc.1,501502_bpcx501802_bpc.1__marks_30_39,2010015137,2010015137,907.0,501502_BPC,90.0
107,501502_bpcx501802_bpc.1,501502_bpcx501802_bpc.1__marks_30_39,2010015453,2010015453,949.0,501502_BPC,90.0
108,501502_bpcx501802_bpc.1,501502_bpcx501802_bpc.1__marks_30_39,2010017143,2010017143,944.0,501502_BPC,90.0
109,501502_bpcx501802_bpc.1,501502_bpcx501802_bpc.1__marks_30_39,2010003362,2010003362,858.0,501802_BPC,78.0
110,501502_bpcx501802_bpc.1,501502_bpcx501802_bpc.1__marks_30_39,2010034185,2010034185,925.0,501502_BPC,81.0
111,501502_bpcx501802_bpc.1,501502_bpcx501802_bpc.1__marks_30_39,2010020159,2010020159,897.0,501802_BPC,90.0
112,501502_bpcx501802_bpc.1,501502_bpcx501802_bpc.1__marks_30_39,2010020220,2010020220,974.0,501502_BPC,95.0
113,501502_bpcx501802_bpc.1,501502_bpcx501802_bpc.1__marks_30_39,2010022612,2010022612,945.0,501502_BPC,95.0
114,501502_bpcx501802_bpc.1,501502_bpcx501802_bpc.1__marks_30_39,2010022623,2010022623,919.0,501802_BPC,87.0
115,501502_bpcx501802_bpc.1,501502_bpcx501802_bpc.1__marks_30_39,2010037975,2010037975,897.0,501502_BPC,91.0
116,501502_bpcx501802_bpc.1,501502_bpcx501802_bpc.1__marks_30_39,2010024135,2010024135,904.0,501502_BPC,95.0
117,501502_bpcx501802_bpc.1,501502_bpcx501802_bpc.1__marks_30_39,2010010830,2010010830,951.0,501502_BPC,93.0
118,501502_bpcx501802_bpc.1,501502_bpcx501802_bpc.1__marks_30_39,2010025371,2010025371,958.0,501502_BPC,93.0
119,501502_bpcx501802_bpc.1,501502_bpcx501802_bpc.1__marks_30_39,2010011358,2010011358,917.0,501802_BPC,84.0
120,501502_bpcx501802_bpc.1,501502_bpcx501802_bpc.1__marks_30_39,2010012843,2010012843,861.0,501502_BPC,81.0
121,501502_bpcx501903_mec.1,501502_bpcx501903_mec.1__marks_10_19,2010047626,2010047626,907.0,501502_BPC,80.0
122,501502_bpcx501903_mec.1,501502_bpcx501903_mec.1__marks_10_19,2010018432,2010018432,648.0,501903_MEC,82.0
123,501502_bpcx501903_mec.1,501502_bpcx501903_mec.1__marks_10_19,2010020401,2010020401,909.0,501502_BPC,93.0
124,501502_bpcx501903_mec.1,501502_bpcx501903_mec.1__marks_10_19,2010037548,2010037548,509.0,501903_MEC,58.0
125,501502_bpcx501903_mec.1,501502_bpcx501903_mec.1__marks_10_19,2010026518,2010026518,852.0,501502_BPC,91.0
126,501502_bpcx501903_mec.1,501502_bpcx501903_mec.1__marks_10_19,2010013397,2010013397,915.0,501502_BPC,95.0
127,501502_bpcx501903_mec.1,501502_bpcx501903_mec.1__marks_20_29,2010014116,2010014116,711.0,501903_MEC,89.0
128,501502_bpcx501903_mec.1,501502_bpcx501903_mec.1__marks_20_29,2010014404,2010014404,452.0,501903_MEC,53.0
129,501502_bpcx501903_mec.1,501502_bpcx501903_mec.1__marks_20_29,2010059735,2010059735,838.0,501502_BPC,71.0
130,501502_bpcx501903_mec.1,501502_bpcx501903_mec.1__marks_20_29,2010048560,2010048560,938.0,501502_BPC,90.0
