college_stream,value_added,std_error,t_value,p_value,ci_lower,ci_upper,college_code,stream,sig
504904_cec_cec,14.834050539276312,0.8843891516900455,16.77321630520774,3.8319361007412373e-63,13.100679653645892,16.567421424906733,504904_cec,cec,***
503801_mpc_mpc,14.794207028963784,0.5669605399417869,26.093891879111712,4.2768267800487525e-150,13.682984790022498,15.90542926790507,503801_mpc,mpc,***
507801_mpc_mpc,11.133439790820404,0.7823449411199144,14.230858034159537,5.89539592733796e-46,9.600071882738263,12.666807698902545,507801_mpc,mpc,***
504903_mec_mec,11.043022065797604,0.8856177119949782,12.469287725650435,1.0980312230364458e-35,9.30724324621668,12.778800885378528,504903_mec,mec,***
505101_mpc_mpc,11.017830440815043,0.5456060151271523,20.193748117398158,1.1110716969987556e-90,9.94846230141741,12.087198580212677,505101_mpc,mpc,***
505501_mpc_mpc,10.082892539033494,0.5984757654221372,16.847620441107566,1.0922177221407797e-63,8.909901593186063,11.255883484880925,505501_mpc,mpc,***
502504_cec_cec,9.576909721473191,1.0016547948449632,9.561088082202524,1.1652508438581734e-21,7.613702398635207,11.540117044311176,502504_cec,cec,***
503201_mpc_mpc,9.306804362559037,0.7417985995524421,12.54626844560534,4.166880785120216e-36,7.852905823654,10.760702901464073,503201_mpc,mpc,***
507401_mpc_mpc,8.38105119653826,0.58587245486511,14.305248739621828,2.029110133807132e-46,7.232762285468577,9.529340107607945,507401_mpc,mpc,***
506601_mpc_mpc,8.190079366705584,0.9176821234005392,8.924745462357528,4.467253019112662e-19,6.3914554555842855,9.988703277826882,506601_mpc,mpc,***
506404_cec_cec,8.02458999442556,0.9090842782642117,8.827113378033069,1.0741190246938794e-18,6.242817550116116,9.806362438735004,506404_cec,cec,***
506904_cec_cec,7.762669099838828,1.0723808388373897,7.238724172146384,4.5292509565444555e-13,5.660841278006692,9.864496921670963,506904_cec,cec,***
508101_mpc_mpc,7.6184447144623215,0.6855604506413743,11.112724935248096,1.0878820716112387e-28,6.274770921980179,8.962118506944464,508101_mpc,mpc,***
507501_mpc_mpc,6.432075208311591,0.6994175465116071,9.196330919051153,3.703807158523051e-20,5.061242006993473,7.802908409629709,507501_mpc,mpc,***
506101_mpc_mpc,5.34343578519137,0.5411721352452373,9.873819136622659,5.406599206719443e-23,4.282757890674066,6.404113679708674,506101_mpc,mpc,***
506501_mpc_mpc,5.1283631192338515,0.7960039837205871,6.442634991929898,1.1741684728726873e-10,3.5682239795910933,6.68850225887661,506501_mpc,mpc,***
507701_mpc_mpc,5.065078181908438,0.7528238345216409,6.7281055004414,1.7188628249387475e-11,3.5895705795426807,6.540585784274196,507701_mpc,mpc,***
508701_mpc_mpc,5.048238284514098,0.7581064666684723,6.659009659551875,2.7567881920520587e-11,3.5623769133969776,6.534099655631218,508701_mpc,mpc,***
509104_cec_cec,4.953862771888338,1.1959456555539887,4.1422139449920055,3.439692464878195e-05,2.6098523595353753,7.2978731842413005,509104_cec,cec,***
503905_hec_hec,4.8884921848216125,1.0602187369538174,4.610833608607082,4.010574605853784e-06,2.810501644657585,6.9664827249856405,503905_hec,hec,***
503601_mpc_mpc,4.648802409986079,0.8506036059852023,5.465298262639804,4.6212909559568e-08,2.9816499771351834,6.315954842836974,503601_mpc,mpc,***
506903_mec_mec,4.533564836155368,1.4410126465136057,3.146096494797531,0.0016546540435327735,1.7092319477219533,7.357897724588783,506903_mec,mec,**
501801_mpc_mpc,4.498065688337307,0.5351822923733364,8.404735643232966,4.2882644284764806e-17,3.449127670121982,5.547003706552632,501801_mpc,mpc,***
503904_cec_cec,4.253499569173526,1.0429027923083682,4.078519686152916,4.5323365119788705e-05,2.209447656872868,6.2975514814741835,503904_cec,cec,***
506701_mpc_mpc,4.247722042412412,1.2716642290369233,3.340285859600976,0.0008369219574465542,1.7553059530721478,6.740138131752676,506701_mpc,mpc,***
507201_mpc_mpc,4.234749914100719,1.420791099463078,2.9805577439927986,0.0028772398705015677,1.450050529598021,7.019449298603417,507201_mpc,mpc,**
513903_mec_mec,4.168124642820133,1.1589992163437646,3.5963135988729156,0.0003227586704969607,1.896527920676208,6.439721364964058,513903_mec,mec,***
509401_mpc_mpc,3.8334552587044493,0.6289164097300101,6.095333496465974,1.0920953183848418e-09,2.6008017463473934,5.066108771061505,509401_mpc,mpc,***
505401_mpc_mpc,3.8076674842098566,1.0031662332133235,3.795649572467373,0.0001472573805249951,1.8414977966050339,5.773837171814679,505401_mpc,mpc,***
502004_cec_cec,3.7615722508870566,0.8340335253879847,4.510097180011089,6.479793471861375e-06,2.1268965792276338,5.396247922546479,502004_cec,cec,***
501904_cec_cec,3.516390965002105,1.1273602058342764,3.1191370307415474,0.0018138158471610573,1.3068055639632608,5.725976366040949,501904_cec,cec,**
502201_mpc_mpc,3.487498226414176,1.1655587667552632,2.992125601802847,0.002770422543106095,1.2030450217089386,5.7719514311194136,502201_mpc,mpc,**
502101_mpc_mpc,3.381338583498624,0.7866546776693901,4.298377267032168,1.720531290691525e-05,1.8395237469966543,4.9231534200005935,502101_mpc,mpc,***
506201_mpc_mpc,3.3512094694804837,0.5721409260372115,5.857314722601271,4.704111543435902e-09,2.2298338603661545,4.472585078594813,506201_mpc,mpc,***
508801_mpc_mpc,3.3019051545224314,0.8097813239702129,4.077526928299336,4.551725964019891e-05,1.7147629241876525,4.889047384857211,508801_mpc,mpc,***
504701_mpc_mpc,3.216367747399916,0.8175015197317443,3.934387484020015,8.340913022798588e-05,1.614094211418937,4.818641283380895,504701_mpc,mpc,***
504401_mpc_mpc,3.1711520934182422,0.9347398718808128,3.392550364881184,0.0006924520076556523,1.339095609618265,5.00320857721822,504401_mpc,mpc,***
508001_mpc_mpc,2.87815377040754,0.7720963147899048,3.7277133892171403,0.00019322493941196115,1.3648728008232265,4.391434739991854,508001_mpc,mpc,***
508201_mpc_mpc,2.871471331340387,0.7919885786742616,3.625647400303482,0.00028823842735281184,1.3192022409717667,4.423740421709007,508201_mpc,mpc,***
502701_mpc_mpc,2.866070683554197,0.9464094882179261,3.0283621616589684,0.0024588321889962633,1.011142172020077,4.720999195088317,502701_mpc,mpc,**
501601_mpc_mpc,2.796358787595685,0.7725413918223326,3.6196879768466634,0.0002949584734668941,1.2822054830574667,4.310512092133903,501601_mpc,mpc,***
514201_mpc_mpc,2.626754018207617,0.9754398354589194,2.692891886019599,0.007083523469480842,0.7149270716224583,4.538580964792775,514201_mpc,mpc,**
505901_mpc_mpc,2.5994920028784145,1.0663022259162809,2.4378566786209728,0.014774630499610523,0.5095780434476116,4.689405962309218,505901_mpc,mpc,*
515001_mpc_mpc,2.472237909185029,1.0810253324804826,2.2869379975696953,0.022199442351048503,0.3534671911478453,4.591008627222212,515001_mpc,mpc,*
506801_mpc_mpc,2.1945213464779645,1.2511482867691304,1.754005795863677,0.07942951403207027,-0.25768423490852266,4.646726927864451,506801_mpc,mpc,
507001_mpc_mpc,2.1845516907384694,1.0005313140642607,2.183391624060817,0.02900698224733025,0.22354634976798482,4.145557031708954,507001_mpc,mpc,*
