candidate_id_68k,marks,gtot,allotted_JC_code,pair_bin_1,pair_bin_2,pair_bin_3,pair_bin_4,pair_bin_5,pair_bin_6,pair_bin_7,pair_bin_8,pair_bin_9,pair_bin_10,pair_bin_11,pair_bin_12,pair_bin_13,pair_bin_14,pair_bin_15,pair_bin_16,pair_bin_17,pair_bin_18,pair_bin_19,englishmarks_12,marks12th,dob_year,age,female,social_category,region,minority,religion,english_medium_10,english_medium_9,school_type_9,school_type_10,type,appliedforJC,result,address_pincode,address_mandalname,address_district,coll_code_went,got_into_JC,TSJC,intermediatecollegecode,sixdigitcode,coll_code,institution,is_income,maxtot,th_mrk,pr_mrk,tot_mrk
2010000041,14.5,325.0,,,,,,,,,,,,,,,,,,,,,24.0,32.5,2005.0,15.0,1.0,SC,KHAMMAM,0.0,HINDU,0.0,0.0,ZPHS,ZPHS,,1.0,F,507209,KALLUR,KHAMMAM,43023.0,0.0,0.0,,,43023.0,,Y,1000,058,0,058
2010000043,15.25,566.0,,,,,,,,,,,,,,,,,,,,,43.0,56.6,2005.0,15.0,1.0,SC,MAHABOOBNAGAR,0.0,HINDU,0.0,0.0,GO,GO,,1.0,2,509334,HANWADA,MAHBUBNAGAR,56001.0,0.0,0.0,,,56001.0,,Y,1000,092,0,092
2010000044,38.75,872.0,,,,,,,,,,,,,,,,,,,,,76.0,87.2,2004.0,16.0,0.0,BC,ADILABAD,0.0,HINDU,1.0,1.0,ZPHS,ZPHS,,1.0,1,504307,ICHODA,ADILABAD,30026.0,0.0,0.0,,,30026.0,,Y,1000,071,0,071
2010000046,38.75,164.0,,,,,,,,,,,,,,,,,,,,,68.55713,16.4,2003.0,17.0,1.0,SC,RR&HYD,0.0,HINDU,1.0,1.0,GO,GO,,1.0,F,501203,SHANKARPALLE,RANGAREDDY(SHAMSHABAD),58283.0,0.0,0.0,,,58283.0,,Y,1000,074,0,074
2010000047,12.75,316.0,,,,,,,,,,,,,,,,,,,,,51.0,31.6,2004.0,16.0,1.0,SC,RR&HYD,0.0,HINDU,0.0,0.0,ZPHS,ZPHS,,1.0,F,501502,DOMA,VIKARABAD,60010.0,0.0,0.0,,,60010.0,,Y,1000,081,0,081
2010000048,20.5,494.0,,,,,,,,,,,,,,,,,,,,,53.0,49.4,2004.0,16.0,0.0,BC,NALGONDA,0.0,HINDU,1.0,1.0,GR,GR,,1.0,3,508213,CHIVVEMLA,SURYAPET,52216.0,0.0,0.0,,,52216.0,,Y,1000,096,0,096
2010000051,29.75,626.0,,,,,,,,,,,,,,,,,,,,,64.0,62.6,2005.0,15.0,1.0,BC,NALGONDA,0.0,HINDU,1.0,1.0,GO,GO,,1.0,1,508211,KETHEPALLY,NALGONDA,50034.0,0.0,0.0,,,50034.0,,Y,1000,094,0,094
2010000052,(null),752.0,,,,,,,,,,,,,,,,,,,,,83.0,75.2,2004.0,16.0,1.0,BC,ADILABAD,0.0,HINDU,1.0,1.0,GR,GR,,1.0,1,504292,REBBENA,KOMARAMBHEEM(ASIFABAD),33018.0,0.0,0.0,,,33018.0,,Y,1000,069,0,069
2010000053,27,729.0,,,,,,,,,,,,,,,,,,,,,65.0,72.9,2004.0,16.0,1.0,BC,MAHABOOBNAGAR,0.0,HINDU,1.0,1.0,GR,GR,,1.0,1,509408,TALAKONDAPALLY,RANGAREDDY(SHAMSHABAD),55210.0,0.0,0.0,,,55210.0,,Y,1000,099,0,099
2010000054,40.25,914.0,,,,,,,,,,,,,,,,,,,,,68.55713,91.4,2004.0,16.0,1.0,SC,RR&HYD,0.0,HINDU,1.0,1.0,MODEL,MODEL,Arts,1.0,1,509228,NANDIGAMA,RANGAREDDY(SHAMSHABAD),56024.0,0.0,1.0,56024.0,505203,56024.0,,Y,1000,,,
